,Date,Open*,High,Low,Close**,Volume,Market Cap
206,"Feb 11, 2019",2.15,2.16,2.07,2.12,6603567,33433215
207,"Feb 10, 2019",2.13,2.16,2.08,2.15,6129877,33889888
208,"Feb 09, 2019",2.1,2.3,2.09,2.13,21706331,33703743
209,"Feb 08, 2019",1.96,2.16,1.95,2.1,9717641,33150383
210,"Feb 07, 2019",1.88,2.07,1.88,1.95,15582782,30846188
211,"Feb 06, 2019",1.99,1.99,1.88,1.88,4754763,29723237
212,"Feb 05, 2019",1.99,2.01,1.98,1.99,2978913,31353995
213,"Feb 04, 2019",1.96,2.05,1.95,2.0,7525481,31511347
214,"Feb 03, 2019",2.0,2.0,1.94,1.95,1992986,30871207
215,"Feb 02, 2019",1.98,2.01,1.95,2.0,2716865,31563028
216,"Feb 01, 2019",1.98,2.0,1.94,1.98,2296555,31219270
217,"Jan 31, 2019",2.06,2.07,1.97,1.98,4223319,31201685
218,"Jan 30, 2019",1.99,2.06,1.97,2.06,3339726,32465837
219,"Jan 29, 2019",2.02,2.02,1.94,1.99,5131047,31389118
220,"Jan 28, 2019",2.18,2.19,1.95,2.02,10954513,31873020
221,"Jan 27, 2019",2.24,2.26,2.16,2.18,3855595,34397192
222,"Jan 26, 2019",2.23,2.3,2.23,2.24,4809904,35442135
223,"Jan 25, 2019",2.23,2.25,2.21,2.23,4206915,35217023
224,"Jan 24, 2019",2.24,2.26,2.19,2.23,4605853,35178864
225,"Jan 23, 2019",2.22,2.29,2.21,2.24,8748119,35428459
226,"Jan 22, 2019",2.23,2.26,2.19,2.22,5976925,35065447
227,"Jan 21, 2019",2.27,2.28,2.21,2.23,3515897,35256032
228,"Jan 20, 2019",2.4,2.49,2.22,2.27,14970927,35816012
229,"Jan 19, 2019",2.31,2.43,2.27,2.4,10265268,37925693
230,"Jan 18, 2019",2.31,2.31,2.25,2.3,6573408,36385982
231,"Jan 17, 2019",2.24,2.31,2.21,2.31,7061101,36434437
232,"Jan 16, 2019",2.23,2.31,2.22,2.23,8783615,35293839
233,"Jan 15, 2019",2.27,2.31,2.21,2.24,5081692,35342701
234,"Jan 14, 2019",2.14,2.29,2.14,2.27,4658750,35924156
235,"Jan 13, 2019",2.28,2.31,2.13,2.14,5310234,33738525
236,"Jan 12, 2019",2.31,2.39,2.25,2.28,6156119,36014260
237,"Jan 11, 2019",2.21,2.37,2.2,2.32,6760460,36665396
238,"Jan 10, 2019",2.66,2.66,2.17,2.21,21661596,34882861
239,"Jan 09, 2019",2.65,2.71,2.63,2.66,9800015,41959128
240,"Jan 08, 2019",2.7,2.76,2.64,2.64,7556545,41756463
241,"Jan 07, 2019",2.66,2.74,2.6,2.7,8026295,42710482
242,"Jan 06, 2019",2.68,2.71,2.52,2.66,13243053,42070440
243,"Jan 05, 2019",2.41,2.87,2.4,2.69,114847049,42494624
244,"Jan 04, 2019",2.3,2.43,2.29,2.42,23839499,38172541
245,"Jan 03, 2019",2.34,2.38,2.29,2.3,14663617,36355674
246,"Jan 02, 2019",2.25,2.36,2.22,2.35,20745540,37055334
247,"Jan 01, 2019",2.24,2.25,2.16,2.24,15611584,35452545
