,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
124,125,RUFF Ruff,RUFF,"$133,921,662",$0.145283,"921,800,000 *","$23,046,640",2.78%,22.63%,40.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
125,126,POE Po.et,POE,"$133,794,525",$0.059282,"2,256,920,162 *","$8,436,111",0.58%,-0.93%,12.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
126,127,RLC iExec RLC,RLC,"$133,399,994",$1.67,"80,070,793 *","$2,202,048",-1.15%,4.40%,9.57%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
127,128,TPAY TokenPay,TPAY,"$132,963,335",$8.67,"15,330,753 *","$1,471,326",1.90%,-2.88%,7.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
128,129,AGI SingularityNET,AGI,"$131,214,619",$0.243137,"539,673,260 *","$1,183,344",-0.62%,19.55%,9.90%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
129,130,SMART SmartCash,SMART,"$129,990,535",$0.141043,921638058,"$201,463",-2.91%,-14.28%,-23.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
130,131,TNB Time New Bank,TNB,"$127,337,609",$0.053918,"2,361,679,677 *","$12,185,984",0.76%,6.08%,9.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
131,132,LCC Litecoin Cash,LCC,"$127,242,237",$0.224306,567269707,"$225,318",-1.72%,-0.58%,30.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
132,133,MTL Metal,MTL,"$127,080,078",$5.25,"24,212,368 *","$18,783,336",-0.65%,5.45%,12.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
133,134,VTC Vertcoin,VTC,"$125,353,420",$2.85,43997125,"$2,909,459",1.70%,5.12%,10.58%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
